Año,Provincia,Partido,Votos
2002,SAN JOSÉ,RENOVACIÓN COSTARRICENSE,4607
2002,SAN JOSÉ,UNIDAD SOCIAL CRISTIANA,212596
2002,ALAJUELA,ACCIÓN CIUDADANA,71408
2002,ALAJUELA,LIBERACIÓN NACIONAL,98863
2002,ALAJUELA,MOVIMIENTO LIBERTARIO,4119
2002,ALAJUELA,RENOVACIÓN COSTARRICENSE,2729
2002,ALAJUELA,UNIDAD SOCIAL CRISTIANA,109415
2002,CARTAGO,ACCIÓN CIUDADANA,52195
2002,CARTAGO,LIBERACIÓN NACIONAL,58605
2002,CARTAGO,MOVIMIENTO LIBERTARIO,3429
2002,CARTAGO,RENOVACIÓN COSTARRICENSE,1218
2002,CARTAGO,UNIDAD SOCIAL CRISTIANA,65261
2002,HEREDIA,ACCIÓN CIUDADANA,50224
2002,HEREDIA,LIBERACIÓN NACIONAL,40600
2002,HEREDIA,MOVIMIENTO LIBERTARIO,2438
2002,HEREDIA,RENOVACIÓN COSTARRICENSE,1591
2002,HEREDIA,UNIDAD SOCIAL CRISTIANA,54592
2002,GUANACASTE,ACCIÓN CIUDADANA,12702
2002,GUANACASTE,LIBERACIÓN NACIONAL,42589
2002,GUANACASTE,MOVIMIENTO LIBERTARIO,892
2002,GUANACASTE,RENOVACIÓN COSTARRICENSE,1226
2002,GUANACASTE,UNIDAD SOCIAL CRISTIANA,46457
2002,PUNTARENAS,ACCIÓN CIUDADANA,19060
2002,PUNTARENAS,LIBERACIÓN NACIONAL,40892
2002,PUNTARENAS,MOVIMIENTO LIBERTARIO,3038
2002,PUNTARENAS,RENOVACIÓN COSTARRICENSE,1997
2002,PUNTARENAS,UNIDAD SOCIAL CRISTIANA,54418
2002,LIMÓN,ACCIÓN CIUDADANA,14600
2002,LIMÓN,LIBERACIÓN NACIONAL,27844
2002,LIMÓN,MOVIMIENTO LIBERTARIO,2756
2002,LIMÓN,RENOVACIÓN COSTARRICENSE,3036
2002,LIMÓN,UNIDAD SOCIAL CRISTIANA,47538
2006,SAN JOSÉ,ACCIÓN CIUDADANA,258976
2006,SAN JOSÉ,LIBERACIÓN NACIONAL,237873
2006,SAN JOSÉ,MOVIMIENTO LIBERTARIO,50515
